"proj_no","start_date","end_date","location","service","days_taken","price","team"
328,2021-06-14,2021-08-08,"IND","Growth Driven Web Design and Development",55,512000,"Team A"
329,2021-06-16,2021-06-25,"CAN","Digital Strategy and Consultation",9,445000,"Team A"
330,2021-06-19,2021-09-20,"CAN","Growth Driven Web Design and Development",93,801000,"Team B"
331,2021-06-21,2021-07-08,"IND","Digital Transformation Service",17,271000,"Team E"
332,2021-06-24,2021-07-18,"IND","Digital Transformation Service",24,665000,"Team E"
333,2021-06-26,2021-08-27,"CAN","App Development",62,919000,"Team D"
334,2021-06-28,2021-07-06,"CAN","Digital Strategy and Consultation",8,302000,"Team A"
335,2021-07-01,2021-08-04,"CAN","App Development",34,486000,"Team D"
336,2021-07-03,2021-09-09,"IND","App Development",68,1012000,"Team D"
337,2021-07-06,2021-07-13,"CAN","Digital Strategy and Consultation",7,264000,"Team E"
338,2021-07-08,2021-07-14,"CAN","Digital Strategy and Consultation",6,95000,"Team A"
339,2021-07-10,2021-07-27,"IND","App Development",17,224000,"Team D"
340,2021-07-13,2021-09-15,"CAN","App Development",64,955000,"Team D"
341,2021-07-15,2021-07-20,"IND","Digital Strategy and Consultation",5,57000,"Team A"
342,2021-07-19,2021-09-14,"CAN","App Development",57,839000,"Team D"
343,2021-07-20,2021-08-07,"IND","Digital Transformation Service",18,300000,"Team E"
344,2021-07-22,2021-07-28,"CAN","Digital Strategy and Consultation",6,123000,"Team C"
345,2021-07-26,2021-08-10,"CAN","Digital Transformation Service",15,162000,"Team A"
346,2021-07-27,2021-08-19,"IND","Digital Transformation Service",23,595000,"Team E"
347,2021-07-29,2021-08-04,"CAN","Digital Strategy and Consultation",6,154000,"Team C"
348,2021-08-02,2021-09-01,"IND","Digital Transformation Service",30,978000,"Team E"
349,2021-08-03,2021-10-04,"CAN","Growth Driven Web Design and Development",62,563000,"Team A"
350,2021-08-06,2021-08-28,"CAN","App Development",22,311000,"Team D"
351,2021-08-09,2021-09-04,"IND","Digital Transformation Service",26,763000,"Team E"
352,2021-08-10,2021-08-28,"CAN","Digital Transformation Service",18,324000,"Team A"
353,2021-08-13,2021-08-31,"CAN","Digital Transformation Service",18,312000,"Team A"
354,2021-08-16,2021-10-02,"CAN","Growth Driven Web Design and Development",47,453000,"Team A"
355,2021-08-18,2021-09-07,"CAN","Digital Transformation Service",20,452000,"Team A"
356,2021-08-20,2021-08-27,"IND","Digital Strategy and Consultation",7,260000,"Team C"
357,2021-08-23,2021-08-30,"CAN","Digital Strategy and Consultation",7,223000,"Team A"
358,2021-08-25,2021-09-12,"CAN","Digital Transformation Service",18,325000,"Team A"
359,2021-08-27,2021-11-24,"CAN","Growth Driven Web Design and Development",89,765000,"Team C"
360,2021-08-30,2021-09-24,"IND","Digital Transformation Service",25,737000,"Team A"
361,2021-09-01,2021-09-10,"IND","Digital Strategy and Consultation",9,402000,"Team A"
362,2021-09-03,2021-09-08,"CAN","Digital Strategy and Consultation",5,87000,"Team A"
363,2021-09-06,2021-09-14,"IND","Digital Strategy and Consultation",8,324000,"Team E"
364,2021-09-08,2021-09-15,"IND","Digital Strategy and Consultation",7,268000,"Team A"
365,2021-09-10,2021-10-01,"IND","Digital Transformation Service",21,499000,"Team A"
366,2021-09-13,2021-10-08,"IND","Digital Transformation Service",25,732000,"Team A"
367,2021-09-15,2021-10-14,"CAN","Digital Transformation Service",29,970000,"Team E"
368,2021-09-18,2021-09-24,"IND","Digital Strategy and Consultation",6,138000,"Team C"
369,2021-09-20,2021-11-02,"IND","Growth Driven Web Design and Development",43,423000,"Team B"
370,2021-09-22,2021-10-17,"IND","Digital Transformation Service",25,727000,"Team A"
371,2021-09-25,2021-10-22,"CAN","Digital Transformation Service",27,829000,"Team A"
372,2021-09-27,2021-10-03,"CAN","Digital Strategy and Consultation",6,110000,"Team C"
373,2021-09-29,2021-10-27,"IND","Digital Transformation Service",28,890000,"Team A"
374,2021-10-02,2021-10-12,"CAN","Digital Strategy and Consultation",10,464000,"Team E"
375,2021-10-04,2021-10-29,"IND","Digital Transformation Service",25,744000,"Team A"
376,2021-10-07,2021-11-01,"CAN","Digital Transformation Service",25,719000,"Team A"
377,2021-10-09,2021-11-02,"IND","App Development",24,335000,"Team C"
378,2021-10-11,2021-10-20,"IND","Digital Strategy and Consultation",9,380000,"Team E"
379,2021-10-14,2021-11-02,"IND","Digital Transformation Service",19,365000,"Team E"
380,2021-10-16,2021-11-09,"IND","Digital Transformation Service",24,660000,"Team E"
381,2021-10-19,2021-10-25,"IND","Digital Strategy and Consultation",6,171000,"Team C"
382,2021-10-21,2022-01-04,"IND","App Development",75,1117000,"Team D"
383,2021-10-23,2021-11-24,"IND","App Development",32,455000,"Team C"
384,2021-10-26,2021-12-22,"IND","App Development",57,839000,"Team D"
385,2021-10-28,2021-11-22,"CAN","Digital Transformation Service",25,696000,"Team A"
386,2021-10-30,2022-01-08,"IND","Growth Driven Web Design and Development",70,627000,"Team A"
387,2021-11-02,2022-01-11,"IND","App Development",70,1048000,"Team D"
388,2021-11-04,2021-12-24,"IND","App Development",50,741000,"Team C"
389,2021-11-08,2021-12-02,"IND","Digital Transformation Service",24,679000,"Team A"
390,2021-11-09,2021-12-15,"CAN","Growth Driven Web Design and Development",36,370000,"Team A"
391,2021-11-11,2022-01-24,"IND","App Development",74,1102000,"Team C"
392,2021-11-15,2022-01-24,"IND","Growth Driven Web Design and Development",70,624000,"Team C"
393,2021-11-16,2021-12-08,"IND","Digital Transformation Service",22,556000,"Team E"
394,2021-11-19,2021-12-14,"IND","Digital Transformation Service",25,712000,"Team E"
395,2021-11-22,2022-01-13,"IND","App Development",52,766000,"Team D"
396,2021-11-23,2021-12-31,"IND","Growth Driven Web Design and Development",38,384000,"Team C"
397,2021-11-26,2021-12-04,"CAN","Digital Strategy and Consultation",8,333000,"Team A"
398,2021-11-29,2021-12-05,"CAN","Digital Strategy and Consultation",6,95000,"Team A"
399,2021-11-30,2021-12-27,"IND","Digital Transformation Service",27,828000,"Team A"
400,2021-12-03,2021-12-25,"IND","Digital Transformation Service",22,556000,"Team E"
401,2021-12-06,2021-12-11,"IND","Digital Strategy and Consultation",5,55000,"Team E"
402,2021-12-08,2021-12-26,"IND","Digital Transformation Service",18,313000,"Team A"
403,2021-12-10,2022-01-02,"IND","Digital Transformation Service",23,595000,"Team A"
404,2021-12-13,2022-04-08,"CAN","Growth Driven Web Design and Development",116,972000,"Team A"
405,2021-12-15,2021-12-21,"CAN","Digital Strategy and Consultation",6,97000,"Team E"
406,2021-12-17,2022-01-05,"IND","Digital Transformation Service",19,401000,"Team E"
407,2021-12-20,2022-01-06,"CAN","Digital Transformation Service",17,252000,"Team E"
408,2021-12-22,2022-01-01,"IND","Digital Strategy and Consultation",10,479000,"Team E"
409,2021-12-24,2022-01-27,"CAN","Growth Driven Web Design and Development",34,354000,"Team B"
410,2021-12-27,2022-02-26,"CAN","App Development",61,911000,"Team C"
411,2021-12-29,2022-03-12,"AUS","App Development",73,1085000,"Team C"
